OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32702,2024-251A,2025-01-25T22:00:01.999584,15.49326013,.0001272,53.1598,78.8949,93.3494,226.6163,0,U,62432,999,544,-.2712E-3,-.1551E-3,0
STARLINK-32712,2024-251B,2025-01-25T22:00:01.999584,15.49230953,.0001089,53.1598,78.8911,96.6680,225.1443,0,U,62433,999,544,.2196E-2,.12329E-2,0
STARLINK-32674,2024-251C,2025-01-25T22:00:01.999584,15.46966157,.0000909,53.1601,78.8927,84.6044,236.1485,0,U,62434,999,544,-.32561E-1,-.1509327E-1,0
STARLINK-32711,2024-251D,2025-01-25T22:00:01.999584,15.49309135,.00014,53.1597,78.8828,76.5170,249.2079,0,U,62435,999,544,.939E-4,.4777E-4,0
STARLINK-32697,2024-251E,2025-01-25T22:00:01.999584,15.49258217,.0001196,53.1599,78.8744,88.7402,241.0231,0,U,62436,999,544,.40693E-3,.22207E-3,0
STARLINK-32693,2024-251F,2025-01-25T22:00:01.999584,15.75263970,.0001531,53.1588,76.9409,97.3397,107.8098,0,U,62437,999,545,-.12055E-1,-.1643216E-1,0
STARLINK-32721,2024-251G,2025-01-25T22:00:01.999584,15.49289977,.0001193,53.1598,78.8708,85.3274,246.1496,0,U,62438,999,538,.78365E-3,.43348E-3,0
STARLINK-32709,2024-251H,2025-01-25T22:00:01.999584,15.48474091,.0001235,53.1597,78.8634,84.1652,250.7328,0,U,62439,999,544,-.31082E-1,-.1518245E-1,0
STARLINK-32689,2024-251J,2025-01-25T22:00:01.999584,15.49416267,.0001137,53.1597,78.8666,95.1219,238.3789,0,U,62440,999,544,-.33036E-2,-.180681E-2,0
STARLINK-32724,2024-251K,2025-01-25T22:00:01.999584,15.49399527,.0001034,53.1599,78.8588,83.0353,254.1658,0,U,62441,999,527,-.46052E-2,-.249365E-2,0
STARLINK-32291,2024-251L,2025-01-25T22:00:01.999584,15.49310882,.0001218,53.1596,78.8548,89.3090,249.8254,0,U,62442,999,511,.43333E-4,.1962E-4,0
